"cnty_fips","display_name","Value","theme_range"
41021,"""Gilliam, (OR)""",36,"32.7 - 37.1 (650)"
41027,"""Hood River, (OR)""",41.9,"40.8 - 46.1 (652)"
41029,"""Jackson, (OR)""",37.5,"37.2 - 40.7 (628)"
41031,"""Jefferson, (OR)""",39.8,"37.2 - 40.7 (628)"
41033,"""Josephine, (OR)""",36.8,"32.7 - 37.1 (650)"
41035,"""Klamath, (OR)""",37.4,"37.2 - 40.7 (628)"
41037,"""Lake, (OR)""",36.1,"32.7 - 37.1 (650)"
41039,"""Lane, (OR)""",37.7,"37.2 - 40.7 (628)"
41041,"""Lincoln, (OR)""",36.3,"32.7 - 37.1 (650)"
41043,"""Linn, (OR)""",38.5,"37.2 - 40.7 (628)"
41047,"""Marion, (OR)""",39.5,"37.2 - 40.7 (628)"
41051,"""Multnomah, (OR)""",42.9,"40.8 - 46.1 (652)"
41053,"""Polk, (OR)""",37.8,"37.2 - 40.7 (628)"
41055,"""Sherman, (OR)""",36.3,"32.7 - 37.1 (650)"
41057,"""Tillamook, (OR)""",35.6,"32.7 - 37.1 (650)"
41065,"""Wasco, (OR)""",39.9,"37.2 - 40.7 (628)"
41067,"""Washington, (OR)""",35.7,"32.7 - 37.1 (650)"
41069,"""Wheeler, (OR)""",42.7,"40.8 - 46.1 (652)"
41071,"""Yamhill, (OR)""",38,"37.2 - 40.7 (628)"
53007,"""Chelan, (WA)""",29.8,"0.0 - 32.6 (652)"
53009,"""Clallam, (WA)""",36,"32.7 - 37.1 (650)"
53011,"""Clark, (WA)""",37.9,"37.2 - 40.7 (628)"
53015,"""Cowlitz, (WA)""",37.6,"37.2 - 40.7 (628)"
53027,"""Grays Harbor, (WA)""",36.3,"32.7 - 37.1 (650)"
53029,"""Island, (WA)""",32.9,"32.7 - 37.1 (650)"
53031,"""Jefferson, (WA)""",38.2,"37.2 - 40.7 (628)"
53033,"""King, (WA)""",30,"0.0 - 32.6 (652)"
53035,"""Kitsap, (WA)""",45.6,"40.8 - 46.1 (652)"
53037,"""Kittitas, (WA)""",33.6,"32.7 - 37.1 (650)"
53039,"""Klickitat, (WA)""",35.9,"32.7 - 37.1 (650)"
53041,"""Lewis, (WA)""",40.3,"37.2 - 40.7 (628)"
53045,"""Mason, (WA)""",39.6,"37.2 - 40.7 (628)"
53047,"""Okanogan, (WA)""",37,"32.7 - 37.1 (650)"
53049,"""Pacific, (WA)""",39.9,"37.2 - 40.7 (628)"
53053,"""Pierce, (WA)""",46.8,"46.2 - 112.3 (634)"
53055,"""San Juan, (WA)""",33.8,"32.7 - 37.1 (650)"
53057,"""Skagit, (WA)""",35.9,"32.7 - 37.1 (650)"
53059,"""Skamania, (WA)""",39.1,"37.2 - 40.7 (628)"
53061,"""Snohomish, (WA)""",32.8,"32.7 - 37.1 (650)"
53067,"""Thurston, (WA)""",36,"32.7 - 37.1 (650)"
53069,"""Wahkiakum, (WA)""",39.3,"37.2 - 40.7 (628)"
53073,"""Whatcom, (WA)""",33.8,"32.7 - 37.1 (650)"
53077,"""Yakima, (WA)""",35.6,"32.7 - 37.1 (650)"
04001,"""Apache, (AZ)""",36.3,"32.7 - 37.1 (650)"
04003,"""Cochise, (AZ)""",33.7,"32.7 - 37.1 (650)"
04005,"""Coconino, (AZ)""",33.1,"32.7 - 37.1 (650)"
04007,"""Gila, (AZ)""",31.2,"0.0 - 32.6 (652)"
04009,"""Graham, (AZ)""",39.6,"37.2 - 40.7 (628)"
04011,"""Greenlee, (AZ)""",34.2,"32.7 - 37.1 (650)"
04012,"""La Paz, (AZ)""",31.9,"0.0 - 32.6 (652)"
04013,"""Maricopa, (AZ)""",29.9,"0.0 - 32.6 (652)"
04015,"""Mohave, (AZ)""",35.2,"32.7 - 37.1 (650)"
04017,"""Navajo, (AZ)""",35.4,"32.7 - 37.1 (650)"
04019,"""Pima, (AZ)""",32.8,"32.7 - 37.1 (650)"
04021,"""Pinal, (AZ)""",24.6,"0.0 - 32.6 (652)"
04023,"""Santa Cruz, (AZ)""",33.2,"32.7 - 37.1 (650)"
04025,"""Yavapai, (AZ)""",30.2,"0.0 - 32.6 (652)"
04027,"""Yuma, (AZ)""",30.5,"0.0 - 32.6 (652)"
06003,"""Alpine, (CA)""",42.1,"40.8 - 46.1 (652)"
06019,"""Fresno, (CA)""",44.3,"40.8 - 46.1 (652)"
06025,"""Imperial, (CA)""",34.6,"32.7 - 37.1 (650)"
06027,"""Inyo, (CA)""",38.9,"37.2 - 40.7 (628)"
06029,"""Kern, (CA)""",37.1,"32.7 - 37.1 (650)"
06037,"""Los Angeles, (CA)""",34.4,"32.7 - 37.1 (650)"
06039,"""Madera, (CA)""",40.3,"37.2 - 40.7 (628)"
06051,"""Mono, (CA)""",34.6,"32.7 - 37.1 (650)"
06059,"""Orange, (CA)""",38.1,"37.2 - 40.7 (628)"
06065,"""Riverside, (CA)""",35.9,"32.7 - 37.1 (650)"
06071,"""San Bernardino, (CA)""",41.2,"40.8 - 46.1 (652)"
06073,"""San Diego, (CA)""",38.1,"37.2 - 40.7 (628)"
06107,"""Tulare, (CA)""",44.4,"40.8 - 46.1 (652)"
06111,"""Ventura, (CA)""",35.5,"32.7 - 37.1 (650)"
08007,"""Archuleta, (CO)""",37.5,"37.2 - 40.7 (628)"
08029,"""Delta, (CO)""",36.5,"32.7 - 37.1 (650)"
08033,"""Dolores, (CO)""",37.8,"37.2 - 40.7 (628)"
08045,"""Garfield, (CO)""",27.2,"0.0 - 32.6 (652)"
08051,"""Gunnison, (CO)""",30.8,"0.0 - 32.6 (652)"
08053,"""Hinsdale, (CO)""",37.6,"37.2 - 40.7 (628)"
08067,"""La Plata, (CO)""",38.1,"37.2 - 40.7 (628)"
08077,"""Mesa, (CO)""",37.1,"32.7 - 37.1 (650)"
08079,"""Mineral, (CO)""",32.7,"32.7 - 37.1 (650)"
08081,"""Moffat, (CO)""",31.4,"0.0 - 32.6 (652)"
08083,"""Montezuma, (CO)""",37.7,"37.2 - 40.7 (628)"
08085,"""Montrose, (CO)""",33.7,"32.7 - 37.1 (650)"
08091,"""Ouray, (CO)""",26.6,"0.0 - 32.6 (652)"
08097,"""Pitkin, (CO)""",16.2,"0.0 - 32.6 (652)"
08103,"""Rio Blanco, (CO)""",26.3,"0.0 - 32.6 (652)"
08107,"""Routt, (CO)""",23.6,"0.0 - 32.6 (652)"
08111,"""San Juan, (CO)""",38.2,"37.2 - 40.7 (628)"
08113,"""San Miguel, (CO)""",27.7,"0.0 - 32.6 (652)"
16001,"""Ada, (ID)""",35.8,"32.7 - 37.1 (650)"
16005,"""Bannock, (ID)""",41.4,"40.8 - 46.1 (652)"
16007,"""Bear Lake, (ID)""",35.6,"32.7 - 37.1 (650)"
16011,"""Bingham, (ID)""",42,"40.8 - 46.1 (652)"
16013,"""Blaine, (ID)""",37.6,"37.2 - 40.7 (628)"
16015,"""Boise, (ID)""",35.2,"32.7 - 37.1 (650)"
16019,"""Bonneville, (ID)""",35.2,"32.7 - 37.1 (650)"
16023,"""Butte, (ID)""",39.6,"37.2 - 40.7 (628)"
16025,"""Camas, (ID)""",30,"0.0 - 32.6 (652)"
16027,"""Canyon, (ID)""",36.1,"32.7 - 37.1 (650)"
16029,"""Caribou, (ID)""",43.8,"40.8 - 46.1 (652)"
16031,"""Cassia, (ID)""",38.3,"37.2 - 40.7 (628)"
16033,"""Clark, (ID)""",37.4,"37.2 - 40.7 (628)"
16037,"""Custer, (ID)""",31.7,"0.0 - 32.6 (652)"
16039,"""Elmore, (ID)""",35.5,"32.7 - 37.1 (650)"
16041,"""Franklin, (ID)""",41.4,"40.8 - 46.1 (652)"
16043,"""Fremont, (ID)""",33.7,"32.7 - 37.1 (650)"
16045,"""Gem, (ID)""",35.4,"32.7 - 37.1 (650)"
16047,"""Gooding, (ID)""",35.6,"32.7 - 37.1 (650)"
16051,"""Jefferson, (ID)""",39.1,"37.2 - 40.7 (628)"
16053,"""Jerome, (ID)""",36.9,"32.7 - 37.1 (650)"
16063,"""Lincoln, (ID)""",33.6,"32.7 - 37.1 (650)"
16065,"""Madison, (ID)""",37.1,"32.7 - 37.1 (650)"
16067,"""Minidoka, (ID)""",35.4,"32.7 - 37.1 (650)"
16071,"""Oneida, (ID)""",37.7,"37.2 - 40.7 (628)"
16073,"""Owyhee, (ID)""",35.9,"32.7 - 37.1 (650)"
16075,"""Payette, (ID)""",35.9,"32.7 - 37.1 (650)"
16077,"""Power, (ID)""",39.7,"37.2 - 40.7 (628)"
16081,"""Teton, (ID)""",34.8,"32.7 - 37.1 (650)"
16083,"""Twin Falls, (ID)""",34.9,"32.7 - 37.1 (650)"
16087,"""Washington, (ID)""",34.5,"32.7 - 37.1 (650)"
32001,"""Churchill, (NV)""",35.5,"32.7 - 37.1 (650)"
32003,"""Clark, (NV)""",36.4,"32.7 - 37.1 (650)"
32005,"""Douglas, (NV)""",32,"0.0 - 32.6 (652)"
32007,"""Elko, (NV)""",32.4,"0.0 - 32.6 (652)"
32009,"""Esmeralda, (NV)""",33.3,"32.7 - 37.1 (650)"
32011,"""Eureka, (NV)""",34.4,"32.7 - 37.1 (650)"
32013,"""Humboldt, (NV)""",35,"32.7 - 37.1 (650)"
32015,"""Lander, (NV)""",34,"32.7 - 37.1 (650)"
32017,"""Lincoln, (NV)""",36,"32.7 - 37.1 (650)"
32019,"""Lyon, (NV)""",40.9,"40.8 - 46.1 (652)"
32021,"""Mineral, (NV)""",39.7,"37.2 - 40.7 (628)"
32023,"""Nye, (NV)""",36.2,"32.7 - 37.1 (650)"
32027,"""Pershing, (NV)""",34.7,"32.7 - 37.1 (650)"
32029,"""Storey, (NV)""",35.8,"32.7 - 37.1 (650)"
32031,"""Washoe, (NV)""",35.5,"32.7 - 37.1 (650)"
32033,"""White Pine, (NV)""",30.1,"0.0 - 32.6 (652)"
32510,"""Carson City, (NV)""",38,"37.2 - 40.7 (628)"
35003,"""Catron, (NM)""",33.1,"32.7 - 37.1 (650)"
